model,lr,epoch,f1_macro,filename,n_samples
FacebookAI/roberta-base,2e-05,2,0.451370081998044,2025-05-20-FacebookAI/roberta-base-2e-05-data,1500
FacebookAI/roberta-base,2e-05,3,0.5426591769994736,2025-05-20-FacebookAI/roberta-base-2e-05-data,1500
FacebookAI/roberta-base,2e-05,4,0.5834853482785496,2025-05-20-FacebookAI/roberta-base-2e-05-data,1500
FacebookAI/roberta-base,2e-05,5,0.5734381302790647,2025-05-20-FacebookAI/roberta-base-2e-05-data,1500
FacebookAI/roberta-base,5e-05,1,0.1666666666666666,2025-05-20-FacebookAI/roberta-base-5e-05-data,1500
FacebookAI/roberta-base,5e-05,2,0.451370081998044,2025-05-20-FacebookAI/roberta-base-5e-05-data,1500
FacebookAI/roberta-base,5e-05,3,0.5426591769994736,2025-05-20-FacebookAI/roberta-base-5e-05-data,1500
FacebookAI/roberta-base,5e-05,4,0.5834853482785496,2025-05-20-FacebookAI/roberta-base-5e-05-data,1500
FacebookAI/roberta-base,5e-05,5,0.5734381302790647,2025-05-20-FacebookAI/roberta-base-5e-05-data,1500
FacebookAI/roberta-base,5e-06,1,0.3647938882699348,2025-05-20-FacebookAI/roberta-base-5e-06-data,1500
FacebookAI/roberta-base,5e-06,2,0.4946132806621804,2025-05-20-FacebookAI/roberta-base-5e-06-data,1500
FacebookAI/roberta-base,5e-06,3,0.6072121851782869,2025-05-20-FacebookAI/roberta-base-5e-06-data,1500
FacebookAI/roberta-base,5e-06,4,0.5848976368385882,2025-05-20-FacebookAI/roberta-base-5e-06-data,1500
FacebookAI/roberta-base,5e-06,5,0.5497850791968438,2025-05-20-FacebookAI/roberta-base-5e-06-data,1500
google-bert/bert-base-uncased,1e-05,1,0.2688081149619611,2025-05-20-google-bert/bert-base-uncased-1e-05-data,1500
google-bert/bert-base-uncased,1e-05,2,0.3810029092937988,2025-05-20-google-bert/bert-base-uncased-1e-05-data,1500
google-bert/bert-base-uncased,1e-05,3,0.4828617437313089,2025-05-20-google-bert/bert-base-uncased-1e-05-data,1500
google-bert/bert-base-uncased,1e-05,4,0.5132380952380953,2025-05-20-google-bert/bert-base-uncased-1e-05-data,1500
google-bert/bert-base-uncased,1e-05,5,0.5437574406646571,2025-05-20-google-bert/bert-base-uncased-1e-05-data,1500
google-bert/bert-base-uncased,2e-05,1,0.2688081149619611,2025-05-20-google-bert/bert-base-uncased-2e-05-data,1500
google-bert/bert-base-uncased,2e-05,2,0.3810029092937988,2025-05-20-google-bert/bert-base-uncased-2e-05-data,1500
google-bert/bert-base-uncased,2e-05,3,0.4828617437313089,2025-05-20-google-bert/bert-base-uncased-2e-05-data,1500
google-bert/bert-base-uncased,2e-05,4,0.5132380952380953,2025-05-20-google-bert/bert-base-uncased-2e-05-data,1500
google-bert/bert-base-uncased,2e-05,5,0.5437574406646571,2025-05-20-google-bert/bert-base-uncased-2e-05-data,1500
google-bert/bert-base-uncased,5e-05,1,0.2688081149619611,2025-05-20-google-bert/bert-base-uncased-5e-05-data,1500
google-bert/bert-base-uncased,5e-05,2,0.3810029092937988,2025-05-20-google-bert/bert-base-uncased-5e-05-data,1500
google-bert/bert-base-uncased,5e-05,3,0.4828617437313089,2025-05-20-google-bert/bert-base-uncased-5e-05-data,1500
google-bert/bert-base-uncased,5e-05,4,0.5132380952380953,2025-05-20-google-bert/bert-base-uncased-5e-05-data,1500
google-bert/bert-base-uncased,5e-05,5,0.5437574406646571,2025-05-20-google-bert/bert-base-uncased-5e-05-data,1500
google-bert/bert-base-uncased,5e-06,1,0.3424347253109299,2025-05-20-google-bert/bert-base-uncased-5e-06-data,1500
google-bert/bert-base-uncased,5e-06,2,0.3947457813883326,2025-05-20-google-bert/bert-base-uncased-5e-06-data,1500
google-bert/bert-base-uncased,5e-06,3,0.4684644958328084,2025-05-20-google-bert/bert-base-uncased-5e-06-data,1500
google-bert/bert-base-uncased,5e-06,4,0.4993025068652734,2025-05-20-google-bert/bert-base-uncased-5e-06-data,1500
google-bert/bert-base-uncased,5e-06,5,0.4786651114784637,2025-05-20-google-bert/bert-base-uncased-5e-06-data,1500
